date,total_rain_mm,Maxtemp_degC,Min Temp (°C),Mean Temp (°C),cumul_rain
2020-06-01,3.5,18,11,14.5,56.5
2020-06-02,0,20,10.5,15.3,56.5
2020-06-03,21.5,21.5,8.5,15,78
2020-06-04,2,11,5.5,8.3,80
2020-06-05,0,15.5,5,10.3,80
2020-06-06,0,16,6,11,80
2020-06-07,0,13.5,7,10.3,80
2020-06-08,18,18,8,13,98
2020-06-09,0,17,8,12.5,98
2020-06-10,28,18.5,6,12.3,126
2020-06-11,0,11,2.5,6.8,126
2020-06-12,0,19,3.5,11.3,126
2020-06-13,0,23,13,18,126
2020-06-14,0,27,11,19,126
2020-06-15,27,21,15,18,153
2020-06-16,0,27.5,11,19.3,153
2020-06-17,16,14,6.5,10.3,169
2020-06-18,16.5,7,4.5,5.8,185.5
2020-06-19,2.5,11.5,2.5,7,188
2020-06-20,0,15.5,1.5,8.5,188
2020-06-21,1,22,10,16,189
2020-06-22,0,25,10,17.5,189
2020-06-23,0,29.5,12.5,21,189
2020-06-24,7.5,28,15.5,21.8,196.5
2020-06-25,0.5,24,15,19.5,197
2020-06-26,0,26,15,20.5,197
2020-06-27,,,,,197
2020-06-28,11.5,20,12,16,208.5
2020-06-29,1.5,17,12,14.5,210
2020-06-30,,,,,210
2020-07-01,,,,,210
2020-07-02,7,28.5,14,21.3,217
2020-07-03,0,29,14,21.5,217
2020-07-04,0,30,13,21.5,217
2020-07-05,8.5,22,8,15,225.5
2020-07-06,9,23.5,8,15.8,234.5
2020-07-07,0,27,13,20,234.5
2020-07-08,,,,,234.5
2020-07-09,0.5,22,15,18.5,235
2020-07-10,0,24.5,12,18.3,235
2020-07-11,0,30,15,22.5,235
2020-07-12,23,26.5,14.5,20.5,258
2020-07-13,0,24,12,18,258
2020-07-14,2,21,12.5,16.8,260
2020-07-15,0,20,15,17.5,260
2020-07-16,0,21.5,14,17.8,260
2020-07-17,2,19.5,12,15.8,262
2020-07-18,0,20,14,17,262
2020-07-19,1.5,24.5,8.5,16.5,263.5
2020-07-20,0,26.5,16,21.3,263.5
2020-07-21,0,26,14.5,20.3,263.5
2020-07-22,34,28.5,17,22.8,297.5
2020-07-23,11,29,17,23,308.5
2020-07-24,0.5,29.5,20,24.8,309
2020-07-25,0,28,17,22.5,309
2020-07-26,8.5,28,13,20.5,317.5
2020-07-27,0.5,26,14.5,20.3,318
2020-07-28,0,28,13.5,20.8,318
2020-07-29,0,28,15.5,21.8,318
2020-07-30,2,31,18,24.5,320
2020-07-31,0,26.5,15.5,21,320
2020-08-01,0,26,13,19.5,320
2020-08-02,0,27,14,20.5,320
2020-08-03,0,27.5,14,20.8,320
2020-08-04,0,27.5,17.5,22.5,320
2020-08-05,0,33.5,17,25.3,320
2020-08-06,0,31.5,18,24.8,320
2020-08-07,0,30.5,18.5,24.5,320
2020-08-08,0,31,7.5,19.3,320
2020-08-09,15,30,9.5,19.8,335
2020-08-10,0,21,12,16.5,335
2020-08-11,0,23,13.5,18.3,335
2020-08-12,7.5,35,12,23.5,342.5
2020-08-13,0,22.5,15.5,19,342.5
2020-08-14,0,25,12,18.5,342.5
2020-08-15,0,25.5,6,15.8,342.5
2020-08-16,2.5,19.5,10.5,15,345
2020-08-17,0.5,23.5,11.5,17.5,345.5
2020-08-18,5,29,14,21.5,350.5
,,,,,351
,,,,,351
,,,,,351
,,,,,351
,,,,,355
,,,,,355
,,,,,362.5
,,,,,362.5
,,,,,362.5
,,,,,362.5
,,,,,369.3
,,,,,370.3
,,,,,370.7
,,,,,375.7
,,,,,375.7
,,,,,375.7
,,,,,375.7
,,,,,393.7
,,,,,395.7
,,,,,395.9
,,,,,395.9
,,,,,400.3
,,,,,403.3
,,,,,403.3
,,,,,403.3
,,,,,408.5
,,,,,411.7
,,,,,420.3
,,,,,420.3
,,,,,420.3
,,,,,420.3
,,,,,420.3
,,,,,422.1
,,,,,422.5
,,,,,423.4
,,,,,423.4
,,,,,423.4
,,,,,425.6
,,,,,425.6
,,,,,426
,,,,,427.4
,,,,,427.8
,,,,,427.8
,,,,,427.8
,,,,,427.8
,,,,,427.8
,,,,,427.8
,,,,,430.2
,,,,,432
,,,,,433
,,,,,440
,,,,,440.4
,,,,,440.4
,,,,,441.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
,,,,,444.4
