date,total_rain_mm,Maxtemp_degC,Min Temp (°C),Mean Temp (°C),cumul_rain
2020-01-01,0,-3.5,-10,-6.8,0
2020-01-02,0,-7.5,-11,-9.3,0
2020-01-03,0,-4,-8,-6,0
2020-01-04,0,-6,-19,-12.5,0
2020-01-05,0,-8.5,-13.5,-11,0
2020-01-06,0,-11,-21,-16,0
2020-01-07,0,-23,-25,-24,0
2020-01-08,0,-19.5,-32,-25.8,0
2020-01-09,0,-20,-23,-21.5,0
2020-01-10,0,-21.5,-26.5,-24,0
2020-01-11,0,-17,-30,-23.5,0
2020-01-12,0,-15,-24,-19.5,0
2020-01-13,0,-22,-25,-23.5,0
2020-01-14,0,-21,-25,-23,0
2020-01-15,0,-26,-33,-29.5,0
2020-01-16,0,-22,-34,-28,0
2020-01-17,0,-19,-30,-24.5,0
2020-01-18,0,-16,-21,-18.5,0
2020-01-19,0,-16,-27,-21.5,0
2020-01-20,0,-11,-24,-17.5,0
2020-01-21,0,-0.5,-14,-7.3,0
2020-01-22,0,-9,-11,-10,0
2020-01-23,0,-5.5,-21,-13.3,0
2020-01-24,0,-2.5,-12,-7.3,0
2020-01-25,0,-6.5,-11,-8.8,0
2020-01-26,0,-5.5,-9,-7.3,0
2020-01-27,0,-8,-11,-9.5,0
2020-01-28,0,-10,-12.5,-11.3,0
2020-01-29,0,-5.5,-11.5,-8.5,0
2020-01-30,0,-2.5,-7.5,-5,0
2020-01-31,0,-2.5,-7.5,-5,0
2020-02-01,0,3,-12,-4.5,0
2020-02-02,0,5,-16.5,-5.8,0
2020-02-03,0,-17,-23,-20,0
2020-02-04,0,-13,-27,-20,0
2020-02-05,0,-17.5,-23.5,-20.5,0
2020-02-06,0,-17.5,-30,-23.8,0
2020-02-07,0,-12,-22.5,-17.3,0
2020-02-08,,,,,0
2020-02-09,,,,,0
2020-02-10,0,-3,-13,-8,0
2020-02-11,0,-8,-19.5,-13.8,0
2020-02-12,0,-21.5,-34,-27.8,0
2020-02-13,0,-16,-33,-24.5,0
2020-02-14,0,-2,-20,-11,0
2020-02-15,0,-19.5,-31,-25.3,0
2020-02-16,0,-14,-28,-21,0
2020-02-17,0,-2,-21,-11.5,0
2020-02-18,0,-18,-27,-22.5,0
2020-02-19,0,-10,-29,-19.5,0
2020-02-20,0,2.5,-15,-6.3,0
2020-02-21,0,5,-7,-1,0
2020-02-22,,,,,0
2020-02-23,,,,,0
2020-02-24,0,-8,-10,-9,0
2020-02-25,0,-8,-18,-13,0
2020-02-26,0,-11,-23,-17,0
2020-02-27,0,-6,-15,-10.5,0
2020-02-28,0,-1,-18,-9.5,0
2020-02-29,0,-0.5,-14,-7.3,0
2020-03-01,0,-7,-8,-7.5,0
2020-03-02,0,-7,-18.5,-12.8,0
2020-03-03,0,-4.5,-9,-6.8,0
2020-03-04,0,-3.5,-10,-6.8,0
2020-03-05,0,4,-4.5,-0.3,0
2020-03-06,0,6,-6.5,-0.3,0
2020-03-07,0,-16,-22,-19,0
2020-03-08,0,-19,-26,-22.5,0
2020-03-09,0,-1.5,-24.5,-13,0
2020-03-10,0,-7,-23.5,-15.3,0
2020-03-11,0,-3,-14.5,-8.8,0
2020-03-12,0,-9,-14.5,-11.8,0
2020-03-13,0,-9.5,-20.5,-15,0
2020-03-14,0,-11.5,-25,-18.3,0
2020-03-15,0,-11.5,-19,-15.3,0
2020-03-16,0,-6,-12,-9,0
2020-03-17,0,-14,-23,-18.5,0
2020-03-18,0,-9,-27,-18,0
2020-03-19,0,-8.5,-26,-17.3,0
2020-03-20,0,-4,-26,-15,0
2020-03-21,0,4.5,-23,-9.3,0
2020-03-22,0,6.5,-9,-1.3,0
2020-03-23,0,2,-9,-3.5,0
2020-03-24,0,2,-8,-3,0
2020-03-25,0,-1,-16,-8.5,0
2020-03-26,0,1.5,-7,-2.8,0
2020-03-27,0,1,-3,-1,0
2020-03-28,0,5,-7,-1,0
2020-03-29,0,-0.5,-11,-5.8,0
2020-03-30,0,2.5,-12,-4.8,0
2020-03-31,0,-11,-12,-11.5,0
2020-04-01,0,-1,-17,-9,0
2020-04-02,0,-8.5,-15.5,-12,0
2020-04-03,0,-8,-17.5,-12.8,0
2020-04-04,0,-3.5,-18,-10.8,0
2020-04-05,0,-1,-7,-4,0
2020-04-06,0,-1.5,-9,-5.3,0
2020-04-07,0,3,-4.5,-0.8,0
2020-04-08,0,-3,-7,-5,0
2020-04-09,0,1,-13,-6,0
2020-04-10,0,3,-5.5,-1.3,0
2020-04-11,0,-0.5,-10,-5.3,0
2020-04-12,0,-3,-13,-8,0
2020-04-13,0,-5,-17,-11,0
2020-04-14,0,-0.5,-21,-10.8,0
2020-04-15,0,1,-13,-6,0
2020-04-16,0,3.5,-10,-3.3,0
2020-04-17,0,8,-5.5,1.3,0
2020-04-18,0,7,-11,-2,0
2020-04-19,0,6,-8,-1,0
2020-04-20,0,-1,-7,-4,0
2020-04-21,0,-1,-9,-5,0
2020-04-22,2,3,-3.5,-0.3,2
2020-04-23,0,12,-1,5.5,2
2020-04-24,0,10,-2,4,2
2020-04-25,0,14,-4.5,4.8,2
2020-04-26,6.5,14,1,7.5,8.5
2020-04-27,0,6,-2,2,8.5
2020-04-28,0,9,-4,2.5,8.5
2020-04-29,0,21,0,10.5,8.5
2020-04-30,7,20,3,11.5,15.5
2020-05-01,,,,,15.5
2020-05-02,0,3.5,-5,-0.8,15.5
2020-05-03,6.5,7.5,-8,-0.3,22
2020-05-04,0,15,-5,5,22
2020-05-05,0,19.5,1,10.3,22
2020-05-06,0,10,-3,3.5,22
2020-05-07,0,12,-3.5,4.3,22
2020-05-08,0,6.5,-1.5,2.5,22
2020-05-09,0,7.5,-2,2.8,22
2020-05-10,0,6.5,-4,1.3,22
2020-05-11,0,7,-5.5,0.8,22
2020-05-12,0,13,-3,5,22
2020-05-13,0,15.5,2.5,9,22
2020-05-14,0,18,1.5,9.8,22
2020-05-15,0,10.5,-3.5,3.5,22
2020-05-16,0,17.5,1,9.3,22
2020-05-17,0,25,8,16.5,22
2020-05-18,0,28.5,10,19.3,22
2020-05-19,0,25,13.5,19.3,22
2020-05-20,0,14.5,3,8.8,22
2020-05-21,7,6.5,4,5.3,29
2020-05-22,11,20,1.5,10.8,40
2020-05-23,0,18,7,12.5,40
2020-05-24,0,21,6,13.5,40
2020-05-25,0,35,9.5,22.3,40
2020-05-26,1,25.5,11,18.3,41
2020-05-27,11,13.5,9,11.3,52
2020-05-28,1,7,2,4.5,53
2020-05-29,,,,,53
2020-05-30,,,,,53
2020-05-31,,,,,53
2020-06-01,3.5,18,11,14.5,56.5
2020-06-02,0,20,10.5,15.3,56.5
2020-06-03,21.5,21.5,8.5,15,78
2020-06-04,2,11,5.5,8.3,80
2020-06-05,0,15.5,5,10.3,80
2020-06-06,0,16,6,11,80
2020-06-07,0,13.5,7,10.3,80
2020-06-08,18,18,8,13,98
2020-06-09,0,17,8,12.5,98
2020-06-10,28,18.5,6,12.3,126
2020-06-11,0,11,2.5,6.8,126
2020-06-12,0,19,3.5,11.3,126
2020-06-13,0,23,13,18,126
2020-06-14,0,27,11,19,126
2020-06-15,27,21,15,18,153
2020-06-16,0,27.5,11,19.3,153
2020-06-17,16,14,6.5,10.3,169
2020-06-18,16.5,7,4.5,5.8,185.5
2020-06-19,2.5,11.5,2.5,7,188
2020-06-20,0,15.5,1.5,8.5,188
2020-06-21,1,22,10,16,189
2020-06-22,0,25,10,17.5,189
2020-06-23,0,29.5,12.5,21,189
2020-06-24,7.5,28,15.5,21.8,196.5
2020-06-25,0.5,24,15,19.5,197
2020-06-26,0,26,15,20.5,197
2020-06-27,,,,,197
2020-06-28,11.5,20,12,16,208.5
2020-06-29,1.5,17,12,14.5,210
2020-06-30,,,,,210
2020-07-01,,,,,210
2020-07-02,7,28.5,14,21.3,217
2020-07-03,0,29,14,21.5,217
2020-07-04,0,30,13,21.5,217
2020-07-05,8.5,22,8,15,225.5
2020-07-06,9,23.5,8,15.8,234.5
2020-07-07,0,27,13,20,234.5
2020-07-08,,,,,234.5
2020-07-09,0.5,22,15,18.5,235
2020-07-10,0,24.5,12,18.3,235
2020-07-11,0,30,15,22.5,235
2020-07-12,23,26.5,14.5,20.5,258
2020-07-13,0,24,12,18,258
2020-07-14,2,21,12.5,16.8,260
2020-07-15,0,20,15,17.5,260
2020-07-16,0,21.5,14,17.8,260
2020-07-17,2,19.5,12,15.8,262
2020-07-18,0,20,14,17,262
2020-07-19,1.5,24.5,8.5,16.5,263.5
2020-07-20,0,26.5,16,21.3,263.5
2020-07-21,0,26,14.5,20.3,263.5
2020-07-22,34,28.5,17,22.8,297.5
2020-07-23,11,29,17,23,308.5
2020-07-24,0.5,29.5,20,24.8,309
2020-07-25,0,28,17,22.5,309
2020-07-26,8.5,28,13,20.5,317.5
2020-07-27,0.5,26,14.5,20.3,318
2020-07-28,0,28,13.5,20.8,318
2020-07-29,0,28,15.5,21.8,318
2020-07-30,2,31,18,24.5,320
2020-07-31,0,26.5,15.5,21,320
2020-08-01,0,26,13,19.5,320
2020-08-02,0,27,14,20.5,320
2020-08-03,0,27.5,14,20.8,320
2020-08-04,0,27.5,17.5,22.5,320
2020-08-05,0,33.5,17,25.3,320
2020-08-06,0,31.5,18,24.8,320
2020-08-07,0,30.5,18.5,24.5,320
2020-08-08,0,31,7.5,19.3,320
2020-08-09,15,30,9.5,19.8,335
2020-08-10,0,21,12,16.5,335
2020-08-11,0,23,13.5,18.3,335
2020-08-12,7.5,35,12,23.5,342.5
2020-08-13,0,22.5,15.5,19,342.5
2020-08-14,0,25,12,18.5,342.5
2020-08-15,0,25.5,6,15.8,342.5
2020-08-16,2.5,19.5,10.5,15,345
2020-08-17,0.5,23.5,11.5,17.5,345.5
2020-08-18,5,29,14,21.5,350.5
2020-08-19,0.5,24,15,19.5,351
2020-08-20,0,29,16,22.5,351
2020-08-21,0,22,15.5,18.8,351
2020-08-22,0,21,14,17.5,351
2020-08-23,4,23.5,12,17.8,355
2020-08-24,0,15.5,9.5,12.5,355
2020-08-25,7.5,13.5,9.5,11.5,362.5
2020-08-26,0,22,10,16,362.5
2020-08-27,0,23,12,17.5,362.5
2020-08-28,0,20,11.5,15.8,362.5
2020-08-29,6.8,23,10,16.5,369.3
2020-08-30,1,21,12,16.5,370.3
2020-08-31,0.4,15,7,11,370.7
2020-09-01,5,15,7,11,375.7
2020-09-02,0,18,7.5,12.8,375.7
2020-09-03,0,14,8,11,375.7
2020-09-04,0,17,7,12,375.7
2020-09-05,18,19,7,13,393.7
2020-09-06,2,8,7,7.5,395.7
2020-09-07,0.2,7,3,5,395.9
2020-09-08,0,10.5,1.5,6,395.9
2020-09-09,4.4,17,5.5,11.3,400.3
2020-09-10,3,17,8,12.5,403.3
2020-09-11,0,25,8,16.5,403.3
2020-09-12,0,18.5,9.5,14,403.3
2020-09-13,5.2,12,6,9,408.5
2020-09-14,3.2,11,8,9.5,411.7
2020-09-15,8.6,11,7,9,420.3
2020-09-16,0,7,-2,2.5,420.3
2020-09-17,0,12,-3,4.5,420.3
2020-09-18,0,15,0,7.5,420.3
2020-09-19,0,24,1,12.5,420.3
2020-09-20,1.8,20.5,8,14.3,422.1
2020-09-21,0.4,21.5,11,16.3,422.5
2020-09-22,0.9,17.5,9,13.3,423.4
2020-09-23,0,14,,,423.4
2020-09-24,0,17,,,423.4
2020-09-25,2.2,17,,,425.6
2020-09-26,0,18,6,12,425.6
2020-09-27,0.4,9,4,6.5,426
