x,y,z,channel,network,station
0,0,0,DPZ,SS,SS.01313
98.925,-1.99,-1.67,DPZ,SS,SS.01392
134.169,-66.182,0.057,DPZ,SS,SS.02071
86.279,-29.004,0.25,DPZ,SS,SS.02150
125.302,-61.669,0.036,DPZ,SS,SS.03262
107.622,-52.671,0.147,DPZ,SS,SS.03394
26.895,-13.127,0.02,DPZ,SS,SS.04047
44.816,-21.987,0.016,DPZ,SS,SS.05799
80.615,-39.515,0.087,DPZ,SS,SS.07399
106.412,16.536,-1.294,DPZ,SS,SS.09457
116.545,-57.559,0.076,DPZ,SS,SS.84704
90.495,-20.27,-1.171,DPZ,SS,SS.84794
102.737,7.212,-1.299,DPZ,SS,SS.85052
98.631,-48.273,0.149,DPZ,SS,SS.85709
152.352,-74.673,0.115,DPZ,SS,SS.90213
62.723,-30.82,0.052,DPZ,SS,SS.90540
8.895,-4.501,0.034,DPZ,SS,SS.91390
71.768,-35.096,0.075,DPZ,SS,SS.91980
18.056,-8.695,-0.036,DPZ,SS,SS.93180
53.86,-26.348,-0.026,DPZ,SS,SS.93621
143.32,-70.435,0.076,DPZ,SS,SS.95934
35.946,-17.452,0.094,DPZ,SS,SS.95986
161.096,-79.269,0.076,DPZ,SS,SS.96097
94.906,-11.173,-1.423,DPZ,SS,SS.96549
89.637,-43.851,0.122,DPZ,SS,SS.97902
